car_id,car_make,car_model,car_year,credit_card_type,credit_card_num
5N1CR2MM6EC025885,Cadillac,Seville,2000,jcb,3531009313554340
WVGAV7AX6FW623618,Mitsubishi,Eclipse,1999,jcb,3588706863211773
2HKRM3H36DH945359,Maserati,Quattroporte,1984,jcb,3555510594308489
TRUVD38JX91683282,BMW,1 Series,2008,jcb,3542198885499286
WBAFA535X1L379081,Audi,A4,2009,jcb,3560859096600577
1GYS3JKJ4FR682228,Mitsubishi,Excel,1989,mastercard,5002354347838565
3D73M3HL5AG170973,Saturn,VUE,2008,jcb,3564452576416460
19UUA8F24DA332420,Maserati,Quattroporte,1984,jcb,3553891024190479
WDDPK4HA6FF904430,Maserati,Spyder,2002,jcb,3545298781291253
WAUWFBFL0BA556020,Eagle,Summit,1992,jcb,3571178576233164
SAJWA4DC9CM726456,Hyundai,Tucson,2010,jcb,3569146880710452
3VWC17AU2FM561968,Suzuki,Aerio,2006,jcb,3535756720205629
WAUEH78E78A241080,Buick,Century,2003,jcb,3531002084963196
WBAPH57559N101876,GMC,Yukon,2000,maestro,630499501524564365
JN1AZ4EH0FM540288,Chrysler,Concorde,2001,maestro,67615632932604248
